Turnir,od,do,EventID,Organizator(i),Direktor turnira,Glavni sudac,Zamjenik glavnog suca,Sudac,Lokacija,Tempo igre,FED,State,Zadnja izmjena,ekipe,n,Rd,Rd-Akt,DB-Key,System
"5th International Chess Tournament "" Rabac Open 2022 """,20220102,20220108,,CC Sveta Nedelja,"Radalj, Ante","IA Dorić, Nenad (CRO) [14501694]","IA Lešić, K. [14505258] ; CA Mihalinec, D. (CRO) [14504260]",,"Rabac (CRO), Hotel Valamar Sanfior",90 minutes with 30 second increment from move 1,CRO,,08.01.2022  13:05,0,140,9,9,584356,Schweizer System
Pojedinačno seniorsko prvenstvo grada Zagreba 2021,20211203,20211217,,Zagrebački šahovski savez,Krešimir Podravec,Vid Brzica,Danko Brajdić,,"Zagreb, Masarykova 22/3","90 minuta po igraču uz dodatak od 30 sekundi za svaki završeni potez, počevši od prvoga.",CRO,,18.12.2021  13:50,0,18,7,7,595130,Schweizer System
Zadar open 2021,20211211,20211217,,Šahovski savez Zadarske županije,Veljko Sagi,Damir Mihalinec,Veljko Sagi,Ferdo Martinović,Zadar,90min+30sec,CRO,,17.12.2021  15:09,0,81,9,9,587083,Schweizer System
"17.kadetski šahovski turnir ""Iovallium""_otvoreno  prvenstvo OBŽ",20211210,20211212,,Šahovski savez Osječko-baranjske županije,Renato Vince,Zdravko Birovljević,,"Renato Vince,",Valpovo,30 minuta fiksnog vremena+dodatak od 30 sekundi za svaki potez,CRO,,13.12.2021  14:49,0,45,7,7,590146,Schweizer System
"23.ženski šahovski turnir ""Čarobni prsten""_otvoreno prvenstvo OBŽ",20211210,20211212,,Šahovski savez Osječko-baranjske županije,Renato Vince,Zdravko Birovljević,,Renato Vince,Valpovo,30 minuta fiksnog vremena+dodatak od 30 sekundi za svaki potez,CRO,,14.12.2021  21:26,0,10,7,7,590143,Schweizer System
Peto otvoreno pojedinačno prvenstvo zapadne Hrvatske za mlade do 12 godina,20211204,20211205,,ŠS Istarske županije i ŠS Primorsko - goranske županije,"IA Milovac, Igor (CRO) [14535661]","IA Milovac, Igor (CRO) [14535661]",NA Ghersinich Giuseppe (CRO) [14510138],"NA Bonaca, Dario (CRO) [14516292]",Sportska dvorana Žatika u Poreču,30 min + 30 sek dodatka,CRO,,05.12.2021  15:54,0,20,6,6,582949,Schweizer System
Peto otvoreno pojedinačno prvenstvo zapadne Hrvatske za mlade do 16 godina,20211204,20211205,,ŠS Istarske županije i ŠS Primorsko - goranske županije,"IA Milovac, Igor (CRO) [14535661]","IA Milovac, Igor (CRO) [14535661]",NA Ghersinich Giuseppe (CRO) [14510138],"NA Bonaca, Dario (CRO) [14516292]",Sportska dvorana Žatika u Poreču,30 min + 30 sek dodatka,CRO,,06.12.2021  10:23,0,12,6,6,582950,Schweizer System
ZATVORENO SENIORSKO ŠAHOVSKO PRVENSTVO VSŽ 2021,20211029,20211031,,Šahovski savez VSŽ i Š.K. ''Šokadija'' Stari Mikanovci,Zdenko Brkić,"Anto Majić, FA",,,"Stari Mikanovci-Šahovski dom, Školska 17A",30 min. fiksnog vremena po igraču + 30 sec za svaki završeni potez počevši od prvoga,CRO,,31.10.2021  12:57,0,33,7,7,580397,Schweizer System
Pojedinačno juniorsko prvenstvo Primorsko-goranske županije Juniori i juniorke do 17. godina,20210925,20210926,,Šahovski savez PGŽ i DND Fužine,,Andrea Jakovac,,,Dom kulture Fužine,30 min + 30 sek/potez,CRO,,26.09.2021  14:34,0,13,6,6,580736,Schweizer System
Juniorsko prvenstvo Zadarske zupanije 2021,20210918,20210919,,Sahovski savez Zadarske zupanije,Veljko Sagi,Veljko Sagi,,Veljko Sagi,Zadar,60+30,CRO,,19.09.2021  15:50,0,11,5,5,579543,Schweizer System
